Epoch 1 | train_loss: 3.019953 | train_acc: 0.0846
Epoch 2 | train_loss: 3.001489 | train_acc: 0.1927
Epoch 3 | train_loss: 2.980270 | train_acc: 0.3818
Epoch 4 | train_loss: 2.953031 | train_acc: 0.6022
Epoch 5 | train_loss: 2.919379 | train_acc: 0.7605
Epoch 6 | train_loss: 2.875496 | train_acc: 0.8291
Epoch 7 | train_loss: 2.817487 | train_acc: 0.8433
Epoch 8 | train_loss: 2.742520 | train_acc: 0.8448
Epoch 9 | train_loss: 2.646498 | train_acc: 0.8449
Epoch 10 | train_loss: 2.524785 | train_acc: 0.8449
Epoch 11 | train_loss: 2.376808 | train_acc: 0.8449
Epoch 12 | train_loss: 2.209417 | train_acc: 0.8449
Epoch 13 | train_loss: 2.032517 | train_acc: 0.8449
Epoch 14 | train_loss: 1.862863 | train_acc: 0.8449
Epoch 15 | train_loss: 1.721013 | train_acc: 0.8449
Epoch 16 | train_loss: 1.619782 | train_acc: 0.8449
Epoch 17 | train_loss: 1.541278 | train_acc: 0.8449
Epoch 18 | train_loss: 1.492688 | train_acc: 0.8449
Epoch 19 | train_loss: 1.465808 | train_acc: 0.8449
Epoch 20 | train_loss: 1.440934 | train_acc: 0.8449
Epoch 21 | train_loss: 1.435366 | train_acc: 0.8449
Epoch 22 | train_loss: 1.416616 | train_acc: 0.8449
Epoch 23 | train_loss: 1.404837 | train_acc: 0.8449
Epoch 24 | train_loss: 1.397943 | train_acc: 0.8449
Epoch 25 | train_loss: 1.387636 | train_acc: 0.8449
Epoch 26 | train_loss: 1.381111 | train_acc: 0.8449
Epoch 27 | train_loss: 1.381636 | train_acc: 0.8449
Epoch 28 | train_loss: 1.371583 | train_acc: 0.8449
Epoch 29 | train_loss: 1.366794 | train_acc: 0.8449
Epoch 30 | train_loss: 1.360064 | train_acc: 0.8449
Epoch 31 | train_loss: 1.353209 | train_acc: 0.8449
Epoch 32 | train_loss: 1.349381 | train_acc: 0.8449
Epoch 33 | train_loss: 1.351054 | train_acc: 0.8449
Epoch 34 | train_loss: 1.350941 | train_acc: 0.8449
Epoch 35 | train_loss: 1.342486 | train_acc: 0.8449
Epoch 36 | train_loss: 1.342464 | train_acc: 0.8449
Epoch 37 | train_loss: 1.334675 | train_acc: 0.8449
Epoch 38 | train_loss: 1.334370 | train_acc: 0.8449
Epoch 39 | train_loss: 1.328879 | train_acc: 0.8449
Epoch 40 | train_loss: 1.335621 | train_acc: 0.8449
Epoch 41 | train_loss: 1.330409 | train_acc: 0.8449
Epoch 42 | train_loss: 1.324945 | train_acc: 0.8449
Epoch 43 | train_loss: 1.319322 | train_acc: 0.8449
Epoch 44 | train_loss: 1.317799 | train_acc: 0.8449
Epoch 45 | train_loss: 1.321337 | train_acc: 0.8449
Epoch 46 | train_loss: 1.318444 | train_acc: 0.8449
Epoch 47 | train_loss: 1.315865 | train_acc: 0.8449
Epoch 48 | train_loss: 1.313342 | train_acc: 0.8449
Epoch 49 | train_loss: 1.313087 | train_acc: 0.8449
Epoch 50 | train_loss: 1.312528 | train_acc: 0.8449
Epoch 51 | train_loss: 1.303434 | train_acc: 0.8449
Epoch 52 | train_loss: 1.304514 | train_acc: 0.8449
Epoch 53 | train_loss: 1.302914 | train_acc: 0.8449
Epoch 54 | train_loss: 1.302088 | train_acc: 0.8449
Epoch 55 | train_loss: 1.303516 | train_acc: 0.8449
Epoch 56 | train_loss: 1.296593 | train_acc: 0.8449
Epoch 57 | train_loss: 1.296293 | train_acc: 0.8449
Epoch 58 | train_loss: 1.296055 | train_acc: 0.8449
Epoch 59 | train_loss: 1.294757 | train_acc: 0.8449
Epoch 60 | train_loss: 1.290178 | train_acc: 0.8449
Epoch 61 | train_loss: 1.289290 | train_acc: 0.8449
Epoch 62 | train_loss: 1.290820 | train_acc: 0.8449
Epoch 63 | train_loss: 1.288426 | train_acc: 0.8449
Epoch 64 | train_loss: 1.285968 | train_acc: 0.8449
Epoch 65 | train_loss: 1.282892 | train_acc: 0.8449
Epoch 66 | train_loss: 1.286639 | train_acc: 0.8449
Epoch 67 | train_loss: 1.282582 | train_acc: 0.8449
Epoch 68 | train_loss: 1.281339 | train_acc: 0.8449
Epoch 69 | train_loss: 1.277904 | train_acc: 0.8449
Epoch 70 | train_loss: 1.277838 | train_acc: 0.8449
Epoch 71 | train_loss: 1.279450 | train_acc: 0.8449
Epoch 72 | train_loss: 1.275400 | train_acc: 0.8449
Epoch 73 | train_loss: 1.274000 | train_acc: 0.8449
Epoch 74 | train_loss: 1.275520 | train_acc: 0.8449
Epoch 75 | train_loss: 1.272745 | train_acc: 0.8449
Epoch 76 | train_loss: 1.269450 | train_acc: 0.8449
Epoch 77 | train_loss: 1.268968 | train_acc: 0.8449
Epoch 78 | train_loss: 1.271699 | train_acc: 0.8449
Epoch 79 | train_loss: 1.268060 | train_acc: 0.8449
Epoch 80 | train_loss: 1.266150 | train_acc: 0.8449
Epoch 81 | train_loss: 1.266166 | train_acc: 0.8449
Epoch 82 | train_loss: 1.265740 | train_acc: 0.8449
Epoch 83 | train_loss: 1.263437 | train_acc: 0.8449
Epoch 84 | train_loss: 1.264679 | train_acc: 0.8449
Epoch 85 | train_loss: 1.261220 | train_acc: 0.8449
Epoch 86 | train_loss: 1.260551 | train_acc: 0.8449
Epoch 87 | train_loss: 1.259927 | train_acc: 0.8449
Epoch 88 | train_loss: 1.260813 | train_acc: 0.8449
Epoch 89 | train_loss: 1.260419 | train_acc: 0.8449
Epoch 90 | train_loss: 1.255449 | train_acc: 0.8449
Epoch 91 | train_loss: 1.253373 | train_acc: 0.8449
Epoch 92 | train_loss: 1.251976 | train_acc: 0.8449
Epoch 93 | train_loss: 1.252981 | train_acc: 0.8449
Epoch 94 | train_loss: 1.252197 | train_acc: 0.8449
Epoch 95 | train_loss: 1.252324 | train_acc: 0.8449
Epoch 96 | train_loss: 1.246693 | train_acc: 0.8449
Epoch 97 | train_loss: 1.250863 | train_acc: 0.8449
Epoch 98 | train_loss: 1.249451 | train_acc: 0.8449
Epoch 99 | train_loss: 1.248598 | train_acc: 0.8449
Epoch 100 | train_loss: 1.246088 | train_acc: 0.8449
Epoch 101 | train_loss: 1.245431 | train_acc: 0.8449
Epoch 102 | train_loss: 1.242061 | train_acc: 0.8449
Epoch 103 | train_loss: 1.245241 | train_acc: 0.8449
Epoch 104 | train_loss: 1.242911 | train_acc: 0.8449
Epoch 105 | train_loss: 1.238161 | train_acc: 0.8449
Epoch 106 | train_loss: 1.240978 | train_acc: 0.8449
Epoch 107 | train_loss: 1.236770 | train_acc: 0.8449
Epoch 108 | train_loss: 1.237955 | train_acc: 0.8449
Epoch 109 | train_loss: 1.238282 | train_acc: 0.8449
Epoch 110 | train_loss: 1.235081 | train_acc: 0.8449
Epoch 111 | train_loss: 1.234503 | train_acc: 0.8449
Epoch 112 | train_loss: 1.234875 | train_acc: 0.8449
Epoch 113 | train_loss: 1.232276 | train_acc: 0.8449
Epoch 114 | train_loss: 1.232384 | train_acc: 0.8449
Epoch 115 | train_loss: 1.230550 | train_acc: 0.8449
Epoch 116 | train_loss: 1.230335 | train_acc: 0.8449
Epoch 117 | train_loss: 1.229820 | train_acc: 0.8449
Epoch 118 | train_loss: 1.229218 | train_acc: 0.8449
Epoch 119 | train_loss: 1.227091 | train_acc: 0.8449
Epoch 120 | train_loss: 1.225671 | train_acc: 0.8449
Epoch 121 | train_loss: 1.224546 | train_acc: 0.8449
Epoch 122 | train_loss: 1.224041 | train_acc: 0.8449
Epoch 123 | train_loss: 1.225174 | train_acc: 0.8449
Epoch 124 | train_loss: 1.223973 | train_acc: 0.8449
Epoch 125 | train_loss: 1.221638 | train_acc: 0.8449
Epoch 126 | train_loss: 1.221690 | train_acc: 0.8449
Epoch 127 | train_loss: 1.222873 | train_acc: 0.8449
Epoch 128 | train_loss: 1.220611 | train_acc: 0.8449
Epoch 129 | train_loss: 1.220782 | train_acc: 0.8449
Epoch 130 | train_loss: 1.219094 | train_acc: 0.8449
Epoch 131 | train_loss: 1.218267 | train_acc: 0.8449
Epoch 132 | train_loss: 1.215096 | train_acc: 0.8449
Epoch 133 | train_loss: 1.214116 | train_acc: 0.8449
Epoch 134 | train_loss: 1.214224 | train_acc: 0.8449
